Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
09508a0d-ebe0-4fa1-b7b2-1710814181cd	1925	0	4870	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2835	0
09537dce-c797-4b60-962a-d4c3cd6ab00a	1158	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	3174	1190	3260	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0	0	0
097a7d36-905b-72be-e050-11ac0d482c9a	0	38535	0	0	0	0	0	0	0	0	0	0	26721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	0	0	0	0	0	0	0	0	0	850298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	0	3178	5237	0	0	0	0	0	0	0	0	0	3996	0	0	0	3897	0	0	0	0	0	0	0	0	0	0	0	0
09cb8bc5-13ac-44ac-9b7d-6de143373570	5128	597	0	0	0	0	0	0	0	0	0	0	0	0	0	873	1192	0	0	0	0	0	0	0	0	0	0	0	0
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	4053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2075	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	2234	0	0	0	0	0	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6730	0
