Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
0980e7fd-051d-45e9-9ca6-2baf073da4e8	0	0	0	0	0	0	0	0	0	25509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09bc8542-4ea1-4599-91b3-d606425b37e2	0	97	0	0	0	0	0	271	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09cb8bc5-13ac-44ac-9b7d-6de143373570	150	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	122	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	67	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0	0	0	0	0	6609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	35	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	0	252	0	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1112	0
0b29c893-03bf-4131-b192-c14a2788d411	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	21	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	37	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0
0be08326-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	130	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8170-e3e4-e050-11ac0c4860c5	80	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8177-e3e4-e050-11ac0c4860c5	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	85	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8183-e3e4-e050-11ac0c4860c5	99	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1043-8187-e3e4-e050-11ac0c4860c5	133	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	66	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	85	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	60	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	576	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	0	0	0	0	287	91	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	62	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cd60b96-eb2d-4687-9709-d1455ec45de7	176	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cdbabf2-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	88	0	0	0	0	0	0	0	0	0	0	0	0
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	0	0	151	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0d569bd5-418d-4d72-87ca-8e14668c2119	104	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	0	0	0	45	0	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	0	0	0	0	0	5058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0dd39eca-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0
0e1e628b-823a-4861-aa95-bed2fada7349	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
