Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	119	0.876	75.772	63.674%	11.207	52.424%	0.44051	0.825
2e69c886-535b-4ff0-9236-abf6799acdbd	653	0.973	229.818	35.194%	33.493	27.176%	1000.0	0.966
2e76891c-b620-4cc0-9315-6f1217b09b1e	1467	0.991	336.355	22.928%	93.461	19.116%	1000.0	0.991
2e8ad1cd-d5d5-4bb4-8bbd-e9bef45088da	226	0.837	125.612	55.581%	16.695	55.042%	0.27469	0.557
2ea2294d-fab9-43ae-a222-370487495b06	119	0.85	75.734	63.642%	9.95	52.809%	0.3999	0.726
2ecd8358-c622-11e3-bf01-24c6515278c0	377	0.915	151.348	40.145%	21.441	41.119%	0.16849	0.812
2f0a660c-ba3c-49bb-90f7-39b0034cea82	69	0.821	55.486	80.414%	7.433	58.22%	0.69861	0.735
2f149d78-c623-11e3-bf01-24c6515278c0	381	0.867	178.562	46.867%	25.369	49.935%	0.18926	0.639
2f2eaecc-6509-423f-b63a-8c3bea1ba4a4	227	0.887	103.008	45.378%	13.95	46.269%	0.19953	0.698
2fdab641-d73b-4f9a-aa4c-c1944f131a69	133	0.871	87.937	66.118%	13.453	51.03%	0.45683	0.826
2fdfb06c-0d2f-4e1d-9756-bcb08a7f90af	123	0.831	92.282	75.026%	13.766	64.115%	0.5171	0.764
2fe2433b-9a55-431f-a869-2b5a63e8e8fc	1587	0.978	440.546	27.76%	65.809	25.549%	1000.0	0.972
301d6ce3-4099-4c1d-8e50-c04b7ce91450	939	0.993	219.826	23.411%	31.906	11.691%	0.1006	0.992
30376989-7edb-4863-9496-1789eccef8c4	25	0.569	32.168	128.672%	5.038	87.7%	1.45427	0.445
304c3e10-583c-421d-ab01-15c937d5014a	98	0.864	68.677	70.079%	9.397	57.835%	0.46169	0.803
305a5074-5384-45a0-985d-289b178d09f6	333	0.907	149.359	44.853%	18.95	42.662%	0.23518	0.771
30600994-c1ec-44c9-a620-3f6c617eb928	7547	0.992	1410.904	18.695%	480.589	15.365%	1000.0	0.992
306ef5bc-97d0-4312-ae0e-343c4e31d869	107	0.838	70.735	66.107%	9.814	54.776%	0.42288	0.729
309f5324-5608-4f62-b744-5ab268b70927	70	0.757	64.65	92.357%	9.569	71.723%	0.75377	0.667
30a8f292-c623-11e3-bf01-24c6515278c0	267	0.874	125.899	47.153%	18.585	49.867%	0.22936	0.727
30b9ab02-60f2-4974-85a9-874f247ae932	269	0.921	136.075	50.586%	19.709	40.545%	0.28687	0.886
30dbe353-86d5-40ed-84c2-dbddf7beb17b	37	0.706	43.637	117.938%	6.373	71.702%	1.16293	0.627
3166f1ae-678d-42ae-9d44-d3d25d6860c7	22	0.44	34.682	157.645%	5.235	89.78%	1.6654	0.232
3189bc97-afd8-4daf-80c9-2d78a08228d3	53	0.789	45.564	85.97%	6.361	62.077%	0.88748	0.695
31bc44b9-35ff-43fd-8a01-a834f3b1ce46	208	0.872	111.985	53.839%	14.961	50.149%	0.28679	0.734
31bcfd64-c622-11e3-bf01-24c6515278c0	250	0.843	134.156	53.662%	19.253	53.856%	0.26955	0.639
31c0c8f8-c623-11e3-bf01-24c6515278c0	407	0.931	154.493	37.959%	20.968	36.673%	0.15647	0.849
31c75873-abb4-4d88-9e2f-07497a6c892d	348	0.928	163.043	46.851%	22.543	41.158%	0.20522	0.889
31f02f48-44a4-445e-ac3d-e9bf3d8d25a2	515	0.932	202.25	39.272%	29.136	37.89%	0.16312	0.878
31f3ff14-7d74-447c-a5da-9ad8336c3f3f	973	0.972	366.0	37.616%	65.371	32.701%	0.11847	0.97
3232f77f-b745-4232-a802-6699b6356efd	234	0.849	130.943	55.959%	17.555	53.027%	1000.0	0.655
32a63b4f-3baa-4987-ad30-5bd0c0548088	45	0.729	46.439	103.198%	6.258	68.69%	0.97073	0.613
32be40fa-c623-11e3-bf01-24c6515278c0	275	0.863	137.61	50.04%	20.14	50.588%	1000.0	0.701
32d8c373-b5c8-420b-9808-8812b5501649	107	0.78	84.417	78.894%	13.557	72.778%	0.60751	0.691
32fa6457-c8bd-4d26-8106-925baf13df68	147	0.866	104.123	70.832%	14.754	56.127%	0.4636	0.815
33061bf5-9b99-4735-a810-f2d5eeef6873	97	0.863	67.335	69.418%	9.97	54.15%	0.5229	0.812
33070975-0f35-4518-9ffb-4c6170c32534	159	0.898	98.413	61.895%	13.84	45.604%	0.39391	0.859
33992441-4f34-42f2-ba87-6ddd227f2250	257	0.891	110.844	43.13%	16.306	45.347%	0.20189	0.749
33a8693c-c623-11e3-bf01-24c6515278c0	451	0.901	197.418	43.773%	28.37	43.615%	0.18128	0.792
33b7e799-ad10-498f-9948-8ce433311539	197	0.853	105.722	53.666%	14.834	53.915%	1000.0	0.678
33b99e90-741d-43f2-804b-75721199a0dc	38	0.822	35.023	92.166%	5.581	56.961%	1000.0	0.785
33bcd589-80db-4a58-8f83-a48cb60e0fda	103	0.831	75.517	73.317%	11.181	57.738%	0.52762	0.76
33bf46dd-16b3-49c6-80d7-76caf27aa0f4	188	0.878	99.771	53.07%	12.91	48.18%	1000.0	0.733
33ea81f2-db2c-4567-bd7b-4cb9aadfef88	352	0.875	164.565	46.751%	22.379	48.858%	1000.0	0.641
34030a28-c622-11e3-bf01-24c6515278c0	299	0.829	201.936	67.537%	27.561	55.922%	1000.0	0.702
3433b1f3-59d1-4ac2-9bbf-e0c4042b4ddc	431	0.87	217.16	50.385%	28.113	51.064%	1000.0	0.64
343fcbc2-f30c-4ffa-a0b3-f5bb21e5e70b	214	0.837	130.281	60.879%	16.75	55.103%	0.36191	0.627
345a06d6-fa5c-4674-a847-88a6b537cf3c	27	0.608	32.083	118.826%	5.356	83.647%	1.57287	0.504
34739bd6-b3be-441d-8cdb-e4233bf14080	54	0.802	48.179	89.22%	7.128	61.122%	0.81989	0.74
34881c6b-f59f-42c0-9f29-9c5c47262ae6	932	0.973	265.593	28.497%	34.883	23.963%	1000.0	0.956
34a445c2-1eb4-4a9f-8838-cddc2f82aae4	485	0.977	183.821	37.901%	26.572	23.794%	0.1621	0.973
34ab4c57-5240-4af7-a329-a5ab55934fd4	134	0.841	78.258	58.401%	10.916	54.58%	0.4702	0.68
34b0c838-bf6c-4d0f-8cd2-d2928adbb539	32	0.698	35.812	111.912%	5.27	71.716%	1.10618	0.601
34c24482-c623-11e3-bf01-24c6515278c0	278	0.875	150.922	54.288%	20.221	48.786%	0.27397	0.757
34d7b6cc-cfcf-4178-b075-f4d129ab18f7	87	0.769	70.649	81.206%	9.765	68.202%	0.64709	0.627
351db483-a70e-496d-b70a-7449875121ee	105	0.762	80.196	76.377%	10.478	64.857%	0.55651	0.505
352fbbb4-88a5-4354-b1fa-3a01da3fbfa7	83	0.821	59.632	71.846%	8.25	57.341%	0.53047	0.71
35553150-e4ef-4539-b220-259f2d634bd7	102	0.757	78.666	77.124%	10.791	67.709%	0.5848	0.556
3585e133-b3c1-4d90-b5f2-2b867e0ae0ec	274	0.862	151.803	55.403%	19.956	50.656%	1000.0	0.696
35a74e53-16ff-4764-8397-6a9b02dfe733	145	0.795	95.943	66.168%	13.083	60.802%	0.41226	0.552
35b951c0-edb0-47c4-9076-ede346ea7cb1	58	0.853	43.163	74.419%	6.758	52.139%	0.54177	0.811
35c797fd-ca81-4cef-b6c4-7e3776f661b3	180	0.836	109.588	60.882%	15.166	54.941%	1000.0	0.677
35cca3b8-c623-11e3-bf01-24c6515278c0	470	0.914	204.622	43.537%	29.064	40.682%	1000.0	0.838
35ceba07-0759-4fbe-b076-af821a528cf0	363	0.855	181.87	50.102%	24.6	52.699%	1000.0	0.57
35dc84c1-476c-4d48-ae23-622bf6e043ac	1057	0.973	538.27	50.924%	117.441	47.263%	1000.0	0.979
35e33a7a-c622-11e3-bf01-24c6515278c0	177	0.866	95.853	54.154%	12.63	50.682%	0.282	0.7
35eb6ecf-9514-4416-94b1-02200c0a1571	545	0.918	220.893	40.531%	33.538	41.513%	0.14444	0.85
35f82a33-bde2-47e2-8aba-ff1fd5920219	345	0.908	161.49	46.809%	21.855	42.304%	0.21301	0.823
363d3a59-dce3-408d-a736-5c29ba9f9b6d	21	0.487	30.414	144.829%	4.193	87.43%	1.52838	0.226
36680797-36de-413d-b2a1-8804ac1705e9	405	0.953	148.454	36.655%	20.769	30.202%	0.14005	0.926
368e592d-260c-4f58-81c4-a9f1e6177a4b	216	0.903	117.065	54.197%	18.68	49.192%	0.31558	0.867
36962459-e81f-4b8c-a08d-df60ef3283a3	110	0.819	80.252	72.956%	10.703	59.832%	0.52546	0.7
369c06f2-8904-49cb-99d1-dd297ed0cd0c	553	0.943	223.178	40.358%	32.601	35.83%	0.20004	0.914
36d1a85e-a09b-4537-86e0-eaf1eb03aed8	162	0.855	90.877	56.097%	12.281	52.083%	0.29293	0.689
36d9c1aa-c623-11e3-bf01-24c6515278c0	197	0.826	124.205	63.048%	16.558	57.508%	1000.0	0.639
36e1d9cc-32ec-4a0a-8fb1-c46f058a6fb8	326	0.86	170.72	52.368%	23.617	51.341%	0.23309	0.68
371235d9-55b8-40a7-8cd6-baa7c2ad0493	868	0.975	363.936	41.928%	67.903	27.216%	1000.0	0.973
3728982b-4547-4249-bd42-72a91d3fda8c	36	0.681	40.756	113.211%	6.171	74.834%	1000.0	0.585
