Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
1b1780d5-06da-40ee-9e15-02631a68027b	233	0.85	130.241	55.897%	17.8	54.646%	0.28831	0.676
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	64	0.799	50.962	79.628%	6.645	60.161%	0.60973	0.666
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	162	0.887	87.747	54.165%	13.082	46.485%	0.33706	0.824
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	218	0.9	110.178	50.54%	14.48	44.02%	0.26269	0.811
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	110	0.794	85.502	77.729%	11.036	61.693%	0.57033	0.638
1bbfe6f2-ad19-4d29-895b-973f5a91c707	66	0.802	48.432	73.382%	7.145	60.822%	0.65994	0.693
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	30	0.641	34.732	115.773%	5.038	77.738%	1.29529	0.504
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	26	0.682	28.294	108.823%	4.58	74.297%	1.06082	0.592
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	80	0.762	65.465	81.831%	8.314	65.321%	1000.0	0.552
1bea3a72-3b73-4072-a6bb-96a90119d3ac	11	0.553	15.493	140.845%	3.013	83.566%	1.62561	0.484
1c00925b-7328-4db0-b930-04aab2d80719	193	0.883	98.835	51.21%	13.652	46.909%	0.25401	0.772
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	517	0.962	178.306	34.489%	27.145	27.388%	0.14767	0.947
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	219	0.893	103.676	47.341%	14.652	45.855%	0.26361	0.786
1c188bf5-2c99-4eb4-a774-59c75d53e643	202	0.834	122.45	60.619%	16.027	55.298%	0.35718	0.624
1c1c6494-c623-11e3-bf01-24c6515278c0	188	0.833	114.881	61.107%	15.835	56.055%	1000.0	0.67
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	84	0.896	55.259	65.785%	7.587	46.173%	0.48933	0.859
1c3df485-8e75-4378-87f6-c6463a520624	905	0.98	212.01	23.427%	29.48	21.119%	0.06573	0.966
1c9fbe26-1447-4335-aaab-06d6bb3e2741	88	0.784	68.753	78.128%	9.227	62.208%	0.60468	0.628
1cb25b72-3726-4f12-9e22-f5c7e4b05681	128	0.773	89.714	70.089%	12.375	63.482%	1000.0	0.523
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	152	0.86	92.708	60.992%	12.168	52.46%	0.39621	0.744
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	83	0.774	68.334	82.33%	8.982	63.354%	0.69773	0.614
1d2d355a-8409-4c8a-9f07-ac62885e228d	362	0.869	193.134	53.352%	26.657	50.778%	1000.0	0.737
1d325d84-a3a0-4802-9842-76cb21cecb1c	107	0.757	86.349	80.7%	11.343	66.041%	0.59826	0.551
1d4a091d-fe65-49c0-8810-5a95243b108a	2997	0.996	438.575	14.634%	101.535	8.942%	1000.0	0.996
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	54	0.743	48.981	90.706%	6.966	75.116%	0.80645	0.619
1daefc49-5248-4948-87ce-0ec19a248ef9	2285	0.988	763.473	33.412%	205.765	29.773%	1000.0	0.989
1dbdbb2c-c623-11e3-bf01-24c6515278c0	459	0.918	166.533	36.282%	24.942	39.781%	0.15013	0.804
1dc9e7fd-fc62-4b32-9619-4e02a266a385	388	0.876	180.675	46.566%	24.159	48.532%	0.24386	0.618
1de83d45-8492-4b83-9055-a9f43b823f91	46	0.677	45.899	99.78%	7.069	78.064%	0.93129	0.547
1df8939c-c622-11e3-bf01-24c6515278c0	197	0.861	105.841	53.726%	13.823	50.849%	0.2917	0.657
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	84	0.794	64.307	76.556%	8.706	60.954%	0.57296	0.651
1e181878-c640-4e91-a620-3fc4b08a4de1	132	0.746	97.108	73.567%	13.774	66.735%	0.50876	0.481
1e27cc8a-5394-4958-9af6-5ece1fe24516	160	0.854	111.44	69.65%	17.462	53.838%	0.42195	0.803
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	302	0.881	161.291	53.408%	22.17	47.418%	0.28646	0.78
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	41	0.661	47.536	115.941%	6.863	81.449%	1.15083	0.546
1ea7e01c-c623-11e3-bf01-24c6515278c0	239	0.86	130.518	54.61%	16.475	51.111%	0.27413	0.626
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	69	0.737	60.066	87.052%	7.615	67.572%	1000.0	0.501
1eb37b28-fac2-477a-88b3-e04291a07926	104	0.846	68.107	65.488%	8.974	53.822%	0.43378	0.73
1eb62abc-7928-405b-84cc-f091ca5347b2	271	0.855	162.078	59.807%	21.686	52.184%	1000.0	0.722
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	32	0.678	35.277	110.241%	5.773	74.529%	1.09143	0.591
1f2a8889-4374-4037-bb56-0f20733380e3	387	0.923	166.424	43.004%	24.859	39.038%	0.22273	0.875
1f5e70c1-c5de-49e7-941a-46e11a4f4416	122	0.729	96.417	79.03%	12.536	69.008%	1000.0	0.388
1f81a1b0-8089-44ef-87b5-b3359a407ad2	65	0.722	60.87	93.646%	9.359	77.722%	0.73464	0.613
1f8d8720-30ca-4057-90f7-a34b8383eafe	26	0.624	29.081	111.85%	4.727	81.067%	1.19301	0.504
1f967003-82d6-4932-a445-24fc25723594	293	0.891	145.003	49.489%	21.067	48.091%	0.23225	0.805
1fd69adc-c623-11e3-bf01-24c6515278c0	97	0.842	70.242	72.414%	9.677	54.351%	0.49957	0.766
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	182	0.882	101.549	55.796%	14.201	48.257%	0.35683	0.802
1ff155dd-deb4-44e0-b3a2-e4875b618435	267	0.966	111.815	41.878%	20.517	33.366%	0.21949	0.963
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	344	0.929	150.248	43.677%	19.325	37.302%	0.20571	0.866
2009e5e7-1796-445b-8677-46b3804fe0bf	16	0.802	19.223	120.144%	3.325	62.837%	1.27045	0.788
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	2722	0.989	668.956	24.576%	91.541	14.993%	0.07115	0.986
207f8a42-5b05-4876-b0ae-ebfaeea27844	167	0.821	97.228	58.22%	12.989	57.573%	1000.0	0.526
209a9b10-7129-48fe-a899-d14ba17efe6f	29	0.597	35.786	123.4%	5.399	80.484%	1.28475	0.453
20d1b88b-3ff6-4201-a748-6a993500c652	46	0.644	50.304	109.357%	7.024	77.567%	1.03212	0.468
20e02396-e676-412d-9724-44a428919cdb	77	0.707	70.132	91.081%	9.457	71.9%	0.70344	0.499
2102558b-87b0-447b-bb9a-e4ae9df8b75e	129	0.796	94.517	73.269%	12.629	61.404%	0.54539	0.63
2109e1d4-c623-11e3-bf01-24c6515278c0	71	0.72	63.934	90.048%	8.983	69.513%	0.73792	0.547
21205681-a0c7-48d0-81d4-0b7ef31158cf	1000	0.987	449.804	44.98%	113.52	37.175%	1000.0	0.99
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35	75	0.733	64.316	85.755%	9.543	75.209%	0.93088	0.593
21e7e43e-f9b1-4351-a6d9-b9cd06d15f68	53	0.607	54.79	103.377%	7.205	80.056%	0.87342	0.225
221d0290-c623-11e3-bf01-24c6515278c0	285	0.862	151.51	53.161%	20.377	50.8%	1000.0	0.677
22578b9f-78dc-464c-9bb9-382f033283d0	50	0.752	45.22	90.44%	6.507	67.84%	0.69673	0.642
228fb827-c05e-494c-8a21-e1d925e100cb	102	0.877	66.875	65.564%	10.01	50.302%	0.45397	0.833
2290b078-6a5b-4c83-9dfb-b525bbf14e4e	119	0.8	81.398	68.402%	11.676	62.68%	0.45629	0.647
22cd3875-a123-4f0d-8cd1-371958208ad6	27	0.649	29.035	107.537%	4.954	79.327%	1000.0	0.55
