,"S1 (SBS1 - 0.99)","S2 (SBS2 - 0.99)","S3 (SBS3 - 0.97)","S4 (SBS4 - 0.98)","S5 (SBS5 - 0.98)","S6 (SBS7a - 1.00)","S7 (SBS7b - 0.96)","S8 (SBS8 - 0.92)","S9 (SBS9 - 0.94)","S10 (SBS10a - 1.00)","S11 (SBS10d - 0.98)","S12 (SBS11 - 0.99)","S13 (SBS13 - 0.99)","S14 (SBS14 - 0.98)","S15 (SBS15 - 0.97)","S16 (SBS17 - 0.99)","S17 (SBS18 - 0.97)","S18 (SBS19 - 0.95)","S19 (SBS20 - 0.98)","S20 (SBS22 - 0.99)","S21 (SBS23 - 0.94)","S22 (SBS26 - 0.94)","S23 (SBS28 - 0.96)","S24 (SBS31 - 0.98)","S25 (SBS32 - 0.94)","S26 (SBS44 - 0.97)","S27 (SBS88 - 0.92)","S28 (SBS92 - 0.95)","S29 (SBS97 - 0.95)"
"0250e6f7-2538-4d1f-a8ff-ca34a7057dde",5662.02073709202,1208.03227176089,3312.73628727407,0,0,115.604858480554,0,1907.56343196086,2948.77069687357,0,0,0,1607.80983381363,0,778.161353752604,7759.54215099068,3385.38558151925,0,0,0,0,243.491880108956,0,0,0,0,0,1667.83220610253,0
"02917220-6a7a-46a1-8656-907e96bef88e",474.934442299902,188.826842097758,0,0,0,0,0,0,14459.3450879644,0,0,0,9.38205246483321,0,0,4424.56192869931,0,0,0,181.13499764228,0,0,783.050185945191,0,0,0,0,0,1322.55724402908
"02c6a893-49c5-49d1-8eb1-195021e70d52",1125.46379250835,249.495263537077,0,103.219230717194,31.9881055528409,202.621525491121,0,0,0,72.9266538107851,0,0,81.1809250359083,14.8028324371519,194.115606704098,0,514.523908354219,9.82532192974597,0,0,0,0,3.2019056409807,0,77.4303671975697,0,0,49.7344627863223,15.670876090386
"02c97e2b-914e-4afc-bf50-78f0cfbfa67b",1820.9482983429,67.5117754531826,106.031176370408,0,179.882209192123,25.26496510823,0,29.3375731128198,0,11.3750646615385,0,0,0,104.574470864126,0,0,15.8762499661633,17.6765048861629,0,0,0,0,0,0,0,0,120.078231998635,40.4497415674173,0
"02e5c36f-5bec-45e2-a048-875653b85ca1",2340.70635683499,132.856110718143,0,0,0,162.629744611577,0,460.031029690456,0,0,111.846915748052,0,66.9019241470655,21.5837562514397,93.1476259454592,0,146.097561747135,0,0,450.464612338523,0,88.2701035355002,0,0,0,0,302.099981732154,437.959351260114,85.4880033727938
"030695f6-c623-11e3-bf01-24c6515278c0",222.722511573315,283.761867619766,0,1045.26125611737,3157.41401196976,117.440820593841,68.3862080826761,2086.36188646394,191.918316614302,0,0,0,433.513241053898,0,0,33.1539881957498,0,248.399475382418,0,0,0,1329.77736376846,0,51.2625685892483,0,0,968.613407048112,2433.32973907371,193.269462151807
"0332b017-17d5-4083-8fc4-9d6f8fdbbbde",6956.80701351256,0,0,127.681615141734,0,0,0,391.948597823412,0,0,0,0,3.30753884905184,0,0,0,0,0,0,7.91574784304992,0,0,0,0,0,0,0,0,0
"0363fe2c-d765-450e-8b1a-d13a23d9af2a",106.158388298262,0,61.8598742829363,0,352.420660667542,57.4213617079815,0,0,0,0,0,0.755713701371835,0,0,18.6445374027784,0,0,6.86307519314814,0,0,35.7271893896947,0,0,0,16.7584954184007,60.1260759404001,23.6235114643847,0,0
"0385961e-ea99-40b2-ad79-6872bc30d8a1",1578.62885046067,21.5656009069947,0,69.0209374365446,532.52431747808,148.450187294379,0,0,0,64.9597607967005,42.0101779594789,5.37604811864499,30.9404342852692,0,145.624624447099,0,549.879988602731,0,0,0,18.7503028563255,0,0,0,0,0,0,16.9727001985428,0
"03ad38a6-0902-4aaa-84a3-91ea88fa9883",1378.01170196102,0,16.5641401829807,49.5540302501634,248.944696195856,109.005428976668,91.5939602045094,192.236386094391,1254.97489861262,0,0,0,0,0,210.014140440534,84.2475041922662,115.370718698965,91.1485313823246,0,0,33.4076859145984,0,0,0,121.06462286004,138.830675584239,326.216632025682,0,0
"03b5268e-881e-49e7-824f-170c3fc8b11b",839.641440002993,0,46.4879649709302,0,0,49.8217426401222,0,109.102420175422,0,82.8419247381828,10.7128476650218,36.5346458876475,13.5960487445033,0,125.709839774728,0,117.787299291896,0,0,0,0,0,0,0,42.6886102859448,0,0,250.181057725179,17.9328503997882
"03c3c692-8a86-4843-85ae-e045f0fa6f88",3825.23956582029,1398.99428718288,3041.52114364414,43.4919817165692,481.506109597841,647.387753786469,0,1532.67753201746,839.120273938809,284.290139316711,0,0,368.87385516589,0,256.24986696267,2292.04248071118,0,0,145.626287621946,153.600908006125,0,0,797.303074156415,0,324.999383572842,428.744142165192,378.130825993561,0,60.2120143751617
"03c88506-d72e-4a44-a34e-a7f0564f1799",597.71990611251,245.225977204424,52.0152511495579,1093.09596439329,2933.15870524132,161.343364112595,2.20455834894965,803.72714456528,5.8660616893356,0,0,0,20.5210554572901,0,100.800272440601,0,136.634271196315,104.489144901091,0,102.356275936371,22.2165692303934,0,0,0,0,17.609720386485,160.6936234476,1205.10155068393,0
"03ced0ce-186a-4349-8d98-572c2bc90382",1611.46032133607,35.2828562566491,910.120931316793,183.554333256873,292.633932333866,192.154836104072,0,0,0,0,56.0698671558858,0,234.147886053983,0,23.3531204134038,67.8309499029174,0,0,0,0,11.0536309558804,0,41.5655858376739,0,0,0,119.245581041529,387.983577246828,91.3845311043743
"03cff38d-7e29-4409-a508-749bddb1b3df",4114.49059673712,549.407309542385,5519.05512633563,484.694278423229,0,0.52964837922552,0,0,4154.48594297079,0,0,0,769.300694723939,0,0,0,1062.51843148132,0,0,725.346208560944,0,1566.24731189893,0,0,0,0,0,0,0
"041e3b42-c623-11e3-bf01-24c6515278c0",205.108644764265,8.26478146617068,0,138.432087094881,2148.61742916853,140.705134724504,0,817.179092796173,46.3222573684768,0,85.2415541605397,0,0,0,0,0,258.275646362957,427.486768176514,0,0,0,665.04900971816,0,0,0,335.572807931444,389.859258792378,1835.76589716529,48.7715437745586
"04339769-517c-448d-a7ca-951f83608c60",1483.75736479111,43.5728934426535,0,0,563.266916810444,0,0,822.256563000485,0,0,0,0,29.150498607371,0,0,0,0,0,0,0,0,65.7870305424872,0,63.3608269696354,0,0,200.562061239794,0,4.58554794993392
"0448206f-3ade-4087-b1a9-4fb2d14e1367",1062.03028537806,381.559977499775,8577.48633335277,1074.6358230599,0,54.7960023248358,153.350903172347,6004.67028353709,0,0,0,24.6935295840102,420.771141913046,128.514085244614,0,83.3006096199463,0,0,0,110.68820763532,0,0,0,0,175.787313660944,0,0,0,0
"046d7386-95c8-4501-9e55-c85bec272a7a",2394.8376186514,143.181993702263,166.461616382573,139.255453984074,0,156.788601511849,0,0,0,8.47038915831371,69.6300789668238,0,161.939203311851,2.90940932845628,120.522819801245,0.736415601165242,0,0,0,0,0,0,0,0,44.5010065542606,0,280.191309421684,156.967784649263,0
"04aa6b77-8074-480c-872e-a1a47afa5314",0,51441.7044854586,0,0,0,695373.002004045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04b570c2-3224-4e9b-81cc-089b4a7ff07a",771.059616356919,0,156.492331277641,150.19931444182,214.672416419699,62.444887781047,16.8916553323418,456.667020823523,0,0,0,48.0816956433996,0,0,90.7752077785289,41.0556876644661,0,200.676294876187,0,13.0015949216106,0,0,0,0,0,137.80444528167,241.848774103656,100.159097565716,0
"04b9837e-9ab5-4eb9-9a9c-ef49e3a62662",711.526716500747,0,84.8107762954948,37.3037970632347,0,19.3033928545993,0,111.26841412642,0,20.7544498464023,40.8302123097864,0,7.20717459995519,0,157.544242828111,0,120.126438593113,6.7686595500567,0,2.58413048819145,0,4.30017984600996,0,20.6137530681719,0,0,58.3193262658749,0,0
